SEQ,HEAT_NO,STRAND_NO,MARKING_CODE,CUT_START_TIME,CUT_END_TIME,MOLD_START_TIME,MOLD_END_TIME,TORCH_LENGTH,CAST_LENGTH,CAST_SPEED,REAL_CUT_LENGTH,WEIGHT
8182964,4G8149,2,4G814920815801,2023/07/04 12:33:30,2023/07/04 12:35:36,2023/07/04 12:09:21,2023/07/04 12:11:27,8158,839,1.18,8258,2608
8183003,4G8149,1,4G814910815801,2023/07/04 12:34:24,2023/07/04 12:36:24,2023/07/04 12:10:15,2023/07/04 12:12:15,8158,844,1.18,8328,2606
8183044,4G8149,6,4G814960815802,2023/07/04 12:41:11,2023/07/04 12:43:17,2023/07/04 12:17:01,2023/07/04 12:19:07,8158,850,1.179,8298,2610
8183064,4G8149,5,4G814950815802,2023/07/04 12:41:33,2023/07/04 12:43:32,2023/07/04 12:17:23,2023/07/04 12:19:22,8158,850,1.179,8308,2604
8183024,4G8149,4,4G814940815802,2023/07/04 12:40:32,2023/07/04 12:42:34,2023/07/04 12:16:23,2023/07/04 12:18:25,8158,844,1.18,8268,2628
8183043,4G8149,3,4G814930815802,2023/07/04 12:41:12,2023/07/04 12:43:11,2023/07/04 12:17:02,2023/07/04 12:19:01,8158,849,1.179,8328,2612
8183023,4G8149,2,4G814920815802,2023/07/04 12:40:29,2023/07/04 12:42:32,2023/07/04 12:16:17,2023/07/04 12:18:20,8158,847,1.178,8258,2610
8183063,4G8149,1,4G814910815802,2023/07/04 12:41:27,2023/07/04 12:43:27,2023/07/04 12:17:17,2023/07/04 12:19:17,8158,852,1.179,8328,2612
8183104,4G8149,6,4G814960815803,2023/07/04 12:48:12,2023/07/04 12:50:19,2023/07/04 12:24:03,2023/07/04 12:26:10,8158,858,1.18,8298,2614
8183123,4G8149,1,4G814910815803,2023/07/04 12:48:29,2023/07/04 12:50:29,2023/07/04 12:24:20,2023/07/04 12:26:20,8158,861,1.18,8328,2598
8183164,4G8149,6,4G814960815804,2023/07/04 12:55:13,2023/07/04 12:57:19,2023/07/04 12:31:04,2023/07/04 12:33:10,8158,866,1.18,8268,2604
8183203,4G8149,5,4G814950815804,,,,,8158,,1.14,,2604
8183144,4G8149,4,4G814940815804,2023/07/04 12:54:32,2023/07/04 12:56:34,2023/07/04 12:30:22,2023/07/04 12:32:24,8158,860,1.179,8268,2602
8183163,4G8149,3,4G814930815804,2023/07/04 12:55:14,2023/07/04 12:57:15,2023/07/04 12:31:04,2023/07/04 12:33:05,8158,865,1.179,8328,2616
8183143,4G8149,2,4G814920815804,2023/07/04 12:54:26,2023/07/04 12:56:31,2023/07/04 12:30:18,2023/07/04 12:32:23,8158,864,1.181,8258,2576
8183183,4G8149,1,4G814910815804,2023/07/04 12:55:31,2023/07/04 12:57:31,2023/07/04 12:31:21,2023/07/04 12:33:21,8158,869,1.179,8328,2592
8183244,4G8149,6,4G814960815805,2023/07/04 13:02:13,2023/07/04 13:04:19,2023/07/04 12:38:01,2023/07/04 12:40:07,8158,875,1.178,8268,2600
8183263,4G8149,5,4G814950815801,2023/07/04 13:04:26,2023/07/04 13:06:25,2023/07/04 12:39:39,2023/07/04 12:41:38,8158,867,1.15,8308,2610
8183224,4G8149,4,4G814940815805,2023/07/04 13:01:31,2023/07/04 13:03:32,2023/07/04 12:37:21,2023/07/04 12:39:22,8158,868,1.179,8248,2604
8183243,4G8149,3,4G814930815805,2023/07/04 13:02:15,2023/07/04 13:04:14,2023/07/04 12:38:08,2023/07/04 12:40:07,8158,874,1.182,8298,2600
8183223,4G8149,2,4G814920815805,2023/07/04 13:01:26,2023/07/04 13:03:29,2023/07/04 12:37:13,2023/07/04 12:39:16,8158,872,1.177,8258,2572
8183343,4G8149,6,4G814960815806,2023/07/04 13:10:28,2023/07/04 13:12:34,2023/07/04 12:45:40,2023/07/04 12:47:46,8158,878,1.149,8268,2584
8183304,4G8149,4,4G814940815801,2023/07/04 13:09:40,2023/07/04 13:11:43,2023/07/04 12:44:52,2023/07/04 12:46:55,8158,872,1.149,8248,2602
8183323,4G8149,3,4G814930815801,2023/07/04 13:10:20,2023/07/04 13:12:20,2023/07/04 12:45:32,2023/07/04 12:47:32,8158,877,1.149,8298,2598
8183303,4G8149,2,4G814920815801,2023/07/04 13:09:27,2023/07/04 13:11:31,2023/07/04 12:44:40,2023/07/04 12:46:44,8158,876,1.15,8258,2578
8183283,4G8149,1,4G814910815805,2023/07/04 13:08:54,2023/07/04 13:10:54,2023/07/04 12:44:06,2023/07/04 12:46:06,8158,874,1.149,8328,2608
8183463,4G8149,6,4G814960815807,2023/07/04 13:17:40,2023/07/04 13:19:47,2023/07/04 12:52:52,2023/07/04 12:54:59,8158,878,1.149,8268,2602
8183424,4G8149,4,4G814940815802,2023/07/04 13:16:50,2023/07/04 13:18:50,2023/07/04 12:52:03,2023/07/04 12:54:03,8158,872,1.15,8248,2608
8183443,4G8149,3,4G814930815802,2023/07/04 13:17:33,2023/07/04 13:19:34,2023/07/04 12:52:45,2023/07/04 12:54:46,8158,877,1.149,8298,2606
8183423,4G8149,2,4G814920815802,2023/07/04 13:16:36,2023/07/04 13:18:40,2023/07/04 12:51:49,2023/07/04 12:53:53,8158,876,1.15,8258,2578
